id,name,price,image
1,Arranhador de Gatos,59.90,https://placekitten.com/200/200?image=1
2,Brinquedo Mordedor para Cães,29.90,https://placekitten.com/200/200?image=2
3,Bolsa de Transporte para Pets,99.90,https://placekitten.com/200/200?image=3
4,Casinha de Cachorro,149.90,https://placekitten.com/200/200?image=4
5,Coleira LED Noturna,45.90,https://placekitten.com/200/200?image=5
6,Bebedouro Automático,79.90,https://placekitten.com/200/200?image=6
7,Cama Almofadada,89.90,https://placekitten.com/200/200?image=7
8,Kit Higiene Pet,39.90,https://placekitten.com/200/200?image=8
9,Porta Petiscos Interativo,55.90,https://placekitten.com/200/200?image=9
10,Roupa Inverno para Pets,69.90,https://placekitten.com/200/200?image=10
